value
AA
AAL
AAPL
ABBV
ABC
ABEV
ABNB
ABT
ACC
ACN
ADBE
ADI
ADM
ADP
ADSK
AEP
AFRM
AGCO
AGNC
AIG
ALB
ALGN
ALL
ALNY
AMAT
AMC
AMD
AMGN
AMR
AMT
AMZN
ANET
ANTM
AON
APA
APD
AR
ARCH
ARE
ASML
ATVI
AUY
AVGO
AXP
AZN
AZO
BA
BABA
BAC
BALL
BAX
BBD
BBWI
BBY
BCE
BDX
BEKE
BG
BHP
BIDU
BIIB
BILI
BILL
BK
BKNG
BKR
BLDR
BLK
BMY
BNTX
BP
BPMC
BSX
BTI
BTU
BX
BYND
BZ
C
CAT
CB
CCI
CCJ
CCL
CDNS
CF
CFG
CHK
CHPT
CHTR
CHWY
CI
CL
CLF
CLX
CMCSA
CME
CMG
CMI
CMS
CNC
CNQ
COF
COIN
COP
COST
COUP
CPB
CPE
CPG
CPRI
CRM
CRSP
CRWD
CS
CSCO
CSX
CTRA
CTSH
CTVA
CVE
CVNA
CVS
CVX
CZR
D
DAL
DAR
DASH
DD
DDOG
DE
DELL
DEO
DFS
DG
DGX
DHI
DHR
DIDI
DINO
DIS
DISH
DKNG
DKS
DLR
DLTR
DOCU
DOW
DPZ
DQ
DUK
DVN
DXCM
EA
EBAY
ECL
EFX
EL
EMN
ENPH
EOG
EPAM
EQIX
EQT
ERIC
ESTC
ET
ETN
ETSY
EW
EXC
EXPD
EXPE
F
FANG
FCEL
FCX
FDX
FE
FIS
FISV
FIVE
FRC
FTNT
FTV
FUTU
GD
GE
GGB
GILD
GIS
GLW
GM
GME
GNRC
GOGL
GOLD
GOOG
GOOGL
GRAB
GS
GSK
GTLB
HAL
HCA
HCP
HD
HES
HLT
HOLX
HON
HOOD
HPQ
HR
HSBC
HST
HTA
HUBS
HUM
IBM
ICE
ICLR
IDXX
ILMN
INTC
INTU
IP
IQV
IR
IRTC
ISRG
ITUB
JBHT
JCI
JD
JNJ
JPM
JWN
K
KDP
KEY
KHC
KLAC
KMB
KMI
KMX
KO
KR
KSS
LBRDK
LBRT
LCID
LEN
LH
LHX
LI
LIN
LLY
LMT
LNG
LOW
LRCX
LULU
LUV
LVS
LYB
LYFT
M
MA
MAR
MCD
MCHP
MCK
MCO
MDB
MDLZ
MDT
MELI
MET
META
MGM
MMC
MMM
MNST
MO
MOS
MPC
MPW
MRK
MRNA
MRO
MRTX
MRVL
MS
MSFT
MSTR
MT
MTB
MTCH
MTN
MU
NCLH
NEE
NEM
NET
NFLX
NIO
NKE
NLOK
NLY
NOC
NOK
NOW
NSC
NTES
NTR
NU
NUE
NVAX
NVDA
NVS
NXPI
O
OAS
ODFL
OKTA
OLLI
ON
ORCL
ORLY
OVV
OXY
PAGS
PANW
PARA
PATH
PAYC
PBF
PBR
PCG
PDCE
PDD
PEAK
PENN
PEP
PFE
PG
PGR
PH
PINS
PLD
PLTR
PLUG
PM
PNC
POOL
PPG
PPL
PRU
PSX
PTON
PXD
PYPL
QCOM
RACE
RBLX
RCL
REGN
RH
RIO
RIVN
ROK
ROKU
ROP
ROST
RRC
RSG
RTX
RUN
SAIL
SAP
SBAC
SBLK
SBNY
SBUX
SCHW
SE
SEDG
SHEL
SHOP
SHW
SIG
SIVB
SJM
SLB
SNAP
SNOW
SNPS
SNY
SO
SOFI
SPG
SPGI
SPLK
SPOT
SQ
SQM
SRE
STLD
STM
STNE
STT
STX
SU
SWAV
SWKS
SWN
SYF
SYK
SYY
T
TAL
TCOM
TDOC
TEAM
TECK
TFC
TGT
TJX
TLRY
TMO
TMUS
TOST
TPTX
TROW
TS
TSCO
TSLA
TSM
TT
TTD
TTE
TTWO
TWLO
TWTR
TXN
U
UAL
UBER
UL
ULTA
UNH
UNP
UPS
UPST
URI
USB
V
VALE
VEEV
VERU
VICI
VLO
VMW
VOD
VRTX
VZ
W
WBA
WBD
WDAY
WDC
WEC
WFC
WM
WMB
WMT
WSM
WWE
WYNN
X
XEL
XOM
XPEV
Y
YMM
YUMC
Z
ZBRA
ZEN
ZI
ZIM
ZM
ZS
ZTS
SPY
