Symbol,Name,Country,IPOYear,Sector,Industry,MarketCap,MarketCapDate
JD,JD.com Inc. American Depositary Shares,China,2014,Consumer Discretionary,Catalog/Specialty Distribution,96625323641,2022-06-09
JNJ,Johnson & Johnson Common Stock,United States,NULL,Health Care,Biotechnology: Pharmaceutical Preparations,463258287594,2022-06-09
JPM,JP Morgan Chase & Co. Common Stock,United States,NULL,Finance,Major Banks,372623592621,2022-06-09
JWN,Nordstrom Inc. Common Stock,United States,NULL,Consumer Discretionary,Clothing/Shoe/Accessory Stores,4423954839,2022-06-09
K,Kellogg Company Common Stock,United States,NULL,Consumer Staples,Packaged Foods,23519310503,2022-06-09
KDP,Keurig Dr Pepper Inc. Common Stock,United States,NULL,Consumer Staples,Beverages (Production/Distribution),51493250002,2022-06-09
KEY,KeyCorp Common Stock,United States,NULL,Finance,Major Banks,17800868889,2022-06-09
KHC,The Kraft Heinz Company Common Stock,United States,NULL,Consumer Staples,Farming/Seeds/Milling,46317848837,2022-06-09
KLAC,KLA Corporation Common Stock,United States,1980,Technology,Electronic Components,53646269239,2022-06-09
KMB,Kimberly-Clark Corporation Common Stock,United States,NULL,Consumer Discretionary,Paper,43721136599,2022-06-09
KMI,Kinder Morgan Inc. Common Stock,United States,2011,Utilities,Natural Gas Distribution,44170364787,2022-06-09
KMX,CarMax Inc,United States,NULL,Consumer Discretionary,Other Specialty Stores,16246227905,2022-06-09
KO,Coca-Cola Company (The) Common Stock,United States,NULL,Consumer Staples,Beverages (Production/Distribution),273128484945,2022-06-09
KR,Kroger Company (The) Common Stock,United States,NULL,Consumer Staples,Food Chains,37095726211,2022-06-09
KSS,Kohl's Corporation Common Stock,United States,1992,Consumer Discretionary,Department/Specialty Retail Stores,6044112634,2022-06-09
LBRDK,Liberty Broadband Corporation Class C Common Stock,United States,NULL,Consumer Discretionary,Telecommunications Equipment,19874752409,2022-06-09
LBRT,Liberty Energy Inc. Class A common stock,United States,2018,Energy,Oilfield Services/Equipment,3273567026,2022-06-09
LCID,Lucid Group Inc. Common Stock,United States,NULL,Consumer Discretionary,Auto Manufacturing,31505508424,2022-06-09
LEN,Lennar Corporation Class A Common Stock,United States,NULL,Real Estate,Building operators,23662855456,2022-06-09
LH,Laboratory Corporation of America Holdings Common Stock,United States,NULL,Health Care,Medical Specialities,21736759500,2022-06-09
LHX,L3Harris Technologies Inc. Common Stock,United States,NULL,Industrials,Industrial Machinery/Components,46924467030,2022-06-09
LI,Li Auto Inc. American Depositary Shares,China,2020,Consumer Discretionary,Auto Manufacturing,28663746316,2022-06-09
LIN,Linde plc Ordinary Share,NULL,2018,Industrials,Major Chemicals,163204548556,2022-06-09
LLY,Eli Lilly and Company Common Stock,United States,NULL,Health Care,Biotechnology: Pharmaceutical Preparations,293143227143,2022-06-09
LMT,Lockheed Martin Corporation Common Stock,United States,NULL,Industrials,Aerospace,116951354003,2022-06-09
LNG,Cheniere Energy Inc. Common Stock,United States,2001,Utilities,Oil/Gas Transmission,35602340075,2022-06-09
LOW,Lowe's Companies Inc. Common Stock,United States,NULL,Consumer Discretionary,RETAIL: Building Materials,126713681836,2022-06-09
LRCX,Lam Research Corporation Common Stock,United States,1984,Technology,Industrial Machinery/Components,70284823455,2022-06-09
LULU,lululemon athletica inc. Common Stock,Canada,2007,Consumer Discretionary,Department/Specialty Retail Stores,39085503931,2022-06-09
LUV,Southwest Airlines Company Common Stock,United States,NULL,Consumer Discretionary,Air Freight/Delivery Services,25425972061,2022-06-09
LVS,Las Vegas Sands Corp. Common Stock,United States,2004,Consumer Discretionary,Hotels/Resorts,27102952012,2022-06-09
LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),Netherlands,NULL,Industrials,Industrial Specialties,35923142279,2022-06-09
LYFT,Lyft Inc. Class A Common Stock,United States,2019,Technology,EDP Services,6042709913,2022-06-09
M,Macy's Inc Common Stock,United States,NULL,Consumer Discretionary,Department/Specialty Retail Stores,6522139346,2022-06-09
MA,Mastercard Incorporated Common Stock,United States,2006,Consumer Discretionary,Business Services,346193436257,2022-06-09
MAR,Marriott International Class A Common Stock,United States,NULL,Consumer Discretionary,Hotels/Resorts,55781463926,2022-06-09
MCD,McDonald's Corporation Common Stock,United States,NULL,Consumer Discretionary,Restaurants,181188997850,2022-06-09
MCHP,Microchip Technology Incorporated Common Stock,United States,1993,Technology,Semiconductors,37988884063,2022-06-09
MCK,McKesson Corporation Common Stock,United States,NULL,Health Care,Other Pharmaceuticals,45993588514,2022-06-09
MCO,Moody's Corporation Common Stock,United States,NULL,Finance,Advertising,52401690000,2022-06-09
MDB,MongoDB Inc. Class A Common Stock,United States,2017,Technology,Retail: Computer Software & Peripheral Equipment,20006733688,2022-06-09
MDLZ,Mondelez International Inc. Class A Common Stock,United States,NULL,Consumer Staples,Meat/Poultry/Fish,86211522655,2022-06-09
MDT,Medtronic plc. Ordinary Shares,United States,NULL,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,126154473846,2022-06-09
MELI,MercadoLibre Inc. Common Stock,Argentina,2007,Consumer Discretionary,Catalog/Specialty Distribution,38827569406,2022-06-09
MET,MetLife Inc. Common Stock,United States,2000,Finance,Life Insurance,54655570286,2022-06-09
META,Meta Platforms Inc. Class A Common Stock,United States,2012,NULL,NULL,514323228082,2022-06-09
MGM,MGM Resorts International Common Stock,United States,NULL,Consumer Discretionary,Hotels/Resorts,14698802970,2022-06-09
MMC,Marsh & McLennan Companies Inc. Common Stock,United States,NULL,Finance,Specialty Insurers,78233292160,2022-06-09
MMM,3M Company Common Stock,United States,NULL,Industrials,Consumer Electronics/Appliances,83509386091,2022-06-09
MNST,Monster Beverage Corporation,United States,NULL,Consumer Staples,Beverages (Production/Distribution),47974987689,2022-06-09
MO,Altria Group Inc.,United States,NULL,Consumer Discretionary,Farming/Seeds/Milling,89405318042,2022-06-09
MOS,Mosaic Company (The) Common Stock,United States,NULL,Industrials,Agricultural Chemicals,19721395638,2022-06-09
MPC,Marathon Petroleum Corporation Common Stock,United States,NULL,Energy,Integrated oil Companies,60959309163,2022-06-09
MPW,Medical Properties Trust Inc. common stock,United States,2005,Real Estate,Real Estate Investment Trusts,9886647500,2022-06-09
MRK,Merck & Company Inc. Common Stock (new),United States,NULL,Health Care,Biotechnology: Pharmaceutical Preparations,225265951627,2022-06-09
MRNA,Moderna Inc. Common Stock,United States,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),54324006034,2022-06-09
MRO,Marathon Oil Corporation Common Stock,United States,NULL,Energy,Oil & Gas Production,22432526387,2022-06-09
MRTX,Mirati Therapeutics Inc. Common Stock,United States,NULL,Health Care,Biotechnology: Pharmaceutical Preparations,3376034122,2022-06-09
MRVL,Marvell Technology Inc. Common Stock,Bermuda,2000,Technology,Semiconductors,49570417500,2022-06-09
MS,Morgan Stanley Common Stock,United States,NULL,Finance,Investment Bankers/Brokers/Service,143686192606,2022-06-09
MSFT,Microsoft Corporation Common Stock,United States,1986,Technology,Computer Software: Prepackaged Software,2020984333740,2022-06-09
MSTR,MicroStrategy Incorporated Common Stock Class A,United States,1998,Technology,Computer Software: Prepackaged Software,2530650752,2022-06-09
MT,Arcelor Mittal NY Registry Shares NEW,Luxembourg,NULL,Industrials,Steel/Iron Ore,26588857994,2022-06-09
MTB,M&T Bank Corporation Common Stock,United States,NULL,Finance,Major Banks,31624119737,2022-06-09
MTCH,Match Group Inc. Common Stock,United States,NULL,Technology,Computer Software: Programming Data Processing,23432886286,2022-06-09
MTN,Vail Resorts Inc. Common Stock,United States,1997,Consumer Discretionary,Movies/Entertainment,10102738189,2022-06-09
MU,Micron Technology Inc. Common Stock,United States,NULL,Technology,Semiconductors,75777012916,2022-06-09
